OTU_id,Domain,Phylum,Class,Order,Family,Genus,Species
Arch_OTU_1307,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,NA
Arch_OTU_1308,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1309,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1320,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1322,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1325,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_133,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1332,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1333,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,NA
Arch_OTU_1339,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1341,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1346,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1348,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_135,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,uncultured,NA
Arch_OTU_1351,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1352,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,uncultured,NA,NA
Arch_OTU_1357,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrososphaera,NA
Arch_OTU_1359,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1377,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1391,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1393,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,NA
Arch_OTU_1395,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1398,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_14,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1426,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_143,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
